COMPARATIVE METRICS REPORT (PSNR & SSIM)
======================================================================
 Patient |   HF PSNR   HF SSIM |   LF PSNR   LF SSIM |  Enh PSNR  Enh SSIM
    0108 |    999.99    1.0000 |     24.15    0.6980 |     23.66    0.7913
    0109 |    999.99    1.0000 |     22.01    0.5557 |     22.07    0.7511
    0112 |    999.99    1.0000 |     22.62    0.5446 |     22.55    0.6874
----------------------------------------------------------------------
 AVERAGE |       REF       REF |     23.64    0.5801 |     23.36    0.7342
     STD |                     |      1.98    0.0805 |      1.77    0.0528
======================================================================
HF = High-Field Original (Ground Truth Reference)
LF = Low-Field Simulated (Input)
Enh = Pipeline Enhanced (Output)
